login_frequency,quiz_attempts,assignment_submission_rate,time_on_platform,forum_participation,video_completion_rate,grade_trend,absenteeism_rate,help_seeking_behavior,burnout_risk
13,2,92.4767927959852,187,1,93.36880438821727,1,18.549782036937504,1,1
11,3,89.30781335790923,105,0,72.41327887216406,1,18.276460389529824,0,1
14,3,87.02693933647343,223,0,70.4373019352399,0,18.29461747822985,1,1
18,6,45.59212765425677,794,2,52.05657147656049,1,24.94266135783993,1,1
11,4,85.59753848995797,338,0,43.90275333641595,0,7.418756642959638,0,0
11,7,62.13232767795901,291,0,60.01220750307749,0,28.112127287580826,0,1
18,0,89.75584195762991,423,1,20.850971447950037,0,0.0,0,0
15,6,99.69396841084617,345,1,50.924130497479695,1,21.618896035170412,1,1
10,3,70.88513064893739,343,3,50.983093401893285,0,16.67760318471177,1,1
14,4,78.85863133188752,295,0,58.45028616498387,0,5.3708959856803205,5,0
10,3,74.80773153936404,296,3,67.12170529304821,0,25.29103052433046,2,1
10,5,96.82518130908161,222,1,96.1586529386826,-1,0.0,0,1
12,3,83.14033462326488,486,2,68.69522143825813,0,31.252227452879815,1,1
4,2,100.0,123,0,89.53526367580703,-1,37.56814402525205,2,1
5,1,86.96505043536865,174,1,60.06734753222474,1,13.367998424130306,0,1
9,4,84.90940216762984,182,1,66.42350943647408,-1,4.722816439499011,1,0
7,9,82.81848139123403,234,1,16.285325779861264,0,9.22262865765796,0,0
13,2,91.81590519108804,292,6,21.9937350595974,-1,24.751145211207067,1,0
8,6,61.14776562105588,207,2,62.170339167778565,1,11.776251510416245,0,1
6,5,83.02412746624611,228,1,45.614158296222634,0,0.0,0,0
17,3,81.15944267526442,283,2,81.89294678789516,1,18.83427368642147,0,1
11,3,90.7050259258932,292,4,58.88600873867584,1,23.93838810963403,1,1
12,2,79.74758072951155,342,1,89.40619350562041,1,20.14311918251578,1,1
6,4,69.53518679004796,174,1,97.50985106160621,1,21.73322275530789,1,1
9,3,82.0882080990364,192,2,23.28716666093365,-1,31.045229462218032,0,1
12,1,69.00591365357988,500,1,45.53449764900639,0,12.885394499774973,0,1
7,5,58.896853448950175,102,1,69.84829227142276,0,32.18325590146571,0,1
13,4,90.72546977782592,476,1,37.49398798603147,1,13.456279597946574,1,0
9,7,88.94873887233605,312,0,34.03291039493456,1,26.266515630387623,3,0
10,4,87.60509132792289,402,1,83.2364704565953,1,13.575896398406357,1,1
9,7,97.63514106334974,110,1,98.23406221528687,-1,35.38305825759681,1,1
19,4,74.01961731635289,342,0,79.64229981227332,0,21.479175883335742,2,0
